route,hour,weekday,avg_passengers,buses_on_route,demand_score,label,label_name
 EMINONU-OKMEYDANI,5,1.0,1.0,1.0,1.0,1,normal
 EMINONU-OKMEYDANI,6,1.0,3.0,2.9285714285714284,1.024390243902439,1,normal
 EMINONU-OKMEYDANI,6,2.0,1.0,2.9285714285714284,0.3414634146341463,0,undercrowded
 EMINONU-OKMEYDANI,6,3.0,3.571428571428572,2.9285714285714284,1.2195121951219514,1,normal
 EMINONU-OKMEYDANI,6,4.0,2.5,2.9285714285714284,0.853658536585366,1,normal
 EMINONU-OKMEYDANI,6,5.0,3.4444444444444446,2.9285714285714284,1.1761517615176154,1,normal
 EMINONU-OKMEYDANI,6,6.0,1.0,2.9285714285714284,0.3414634146341463,0,undercrowded
 EMINONU-OKMEYDANI,7,0.0,1.2,3.831168831168831,0.3132203389830508,0,undercrowded
 EMINONU-OKMEYDANI,7,1.0,2.3,3.831168831168831,0.6003389830508474,0,undercrowded
 EMINONU-OKMEYDANI,7,2.0,4.5,3.831168831168831,1.1745762711864407,1,normal
 EMINONU-OKMEYDANI,7,3.0,3.5,3.831168831168831,0.9135593220338984,1,normal
 EMINONU-OKMEYDANI,7,4.0,8.222222222222221,3.831168831168831,2.1461393596986817,2,overcrowded
 EMINONU-OKMEYDANI,7,5.0,3.851851851851852,3.831168831168831,1.005398618957941,1,normal
 EMINONU-OKMEYDANI,7,6.0,4.0,3.831168831168831,1.0440677966101697,1,normal
 EMINONU-OKMEYDANI,8,0.0,1.75,3.979381443298969,0.4397668393782383,0,undercrowded
 EMINONU-OKMEYDANI,8,1.0,4.681818181818182,3.979381443298969,1.1765190767781442,1,normal
 EMINONU-OKMEYDANI,8,2.0,3.375,3.979381443298969,0.8481217616580311,1,normal
 EMINONU-OKMEYDANI,8,3.0,3.7,3.979381443298969,0.9297927461139897,1,normal
 EMINONU-OKMEYDANI,8,4.0,5.090909090909091,3.979381443298969,1.2793217145548752,1,normal
